关卡编号;所属活动;是否为首关;下方解锁关卡;对应AI;首次掉落;随机掉落;所需门票;是否处于调试中;触发剧情;胜利剧情;失败剧情;地图;关卡图标;关卡展示图;关卡名字;关卡难易度
100101;1001;1;100102;1;952001;900001,900002;900001;0;100101;200101;300101;10002;200001;220001;序幕-未完的竞赛 ;2
100102;1001;0;100103;2;952002;900001,900002;900001;0;100102;200201;300201;10003;200001;220001;一幕-未至的黄昏;2
100103;1001;0;100104;3;960011;900002,900003;900002;0;100103;200301;;10001;200001;220001;二幕-未明的阳炎;3
100104;1001;0;100105;4;950004;900002,900003;900002;0;100104;200401;;10004;200001;220001;三幕-未解的记录;3
100105;1001;0;;5;960012;900002,900003;900003;0;100105;200501;;20001;200001;220001;终幕-超动态统一;4
400101;4001;1;400102;6;962001;900002,900003;900001;0;100101;200101;300101;10002;200001;220001;序幕-未完的竞赛 ;5
400102;4001;0;400103;7;960002;900002,900003;900001;0;100102;200201;300201;10003;200001;220001;一幕-未至的黄昏;5
400103;4001;0;400104;8;952003;900002,900003;900002;0;100103;200301;;10001;200001;220001;二幕-未明的阳炎;6
400104;4001;0;400105;9;962003;900002,900003;900002;0;100104;200401;;10004;200001;220001;三幕-未解的记录;6
400105;4001;0;;10;952005;900002,900003;900003;0;100105;200501;;20001;200001;220001;终幕-超动态统一;7
4;0;0;0;1;;;;0;999910;999911;999912;10001;200001;220001;教学4;1
5;0;0;0;1;;;;0;999913;999914;999915;10001;200001;220001;教学5;1
6;0;0;0;1;;;;0;999916;999917;999918;10001;200001;220001;教学6;1
7;0;0;0;1;;;;0;999919;999920;999921;10001;200001;220001;教学7;1
8;0;0;0;1;;;;0;999922;999923;999924;10001;200001;220001;教学8;1
9;0;0;0;1;;;;0;999925;999926;999927;10001;200001;220001;教学9;1
10;0;0;0;1;;;;0;999928;999929;999930;10001;200001;220001;教学10;1
100201;1002;1;100202;21;950021;900004,900005;900004;0;500101;500102;500103;20002;200001;220001;一之卷，三十八万公里外;2
100202;1002;0;100203;22;950022;900004,900005;900004;0;500201;500202;500203;20002;200001;220001;二之卷，守月卫士;2
100203;1002;0;100204;23;950030;900004,900005;900005;0;500301;500302;500303;20002;200001;220001;三之卷，鼎足的裂痕;3
100204;1002;0;100205;24;950031;900005,900006;900005;0;500401;500402;500403;20002;200001;220001;四之卷，月面战争;3
100205;1002;0;;25;950039;900005,900006;900006;0;500501;500502;500503;20003;200001;220001;终卷，与日争辉的月光;4
400201;4002;1;400202;26;950024;920004,920005;920004;0;500101;500102;500103;20002;200001;220001;一之卷，三十八万公里外;5
400202;4002;0;400203;27;950025;920004,920005;920004;0;500201;500202;500203;20002;200001;220001;二之卷，守月卫士;5
400203;4002;0;400204;28;950029;920004,920005;920005;0;500301;500302;500303;20002;200001;220001;三之卷，鼎足的裂痕;6
400204;4002;0;400205;29;950028;920005,920006;920005;0;500401;500402;500403;20002;200001;220001;四之卷，月面战争;6
400205;4002;0;;30;950038;920005,920006;920006;0;500501;500504;500503;20003;200001;220001;终卷，与日争辉的月光;7
100301;1003;1;100302;31;950059;900007,900008;900007;0;600101;600102;600103;10004;200001;220001;一之卷，黑暗的觉醒;2
100302;1003;0;100303;32;950050;900007,900008;900007;0;600201;600202;600203;10001;200001;220001;二之卷，暗云蔽日;2
100303;1003;0;100304;33;950056;900008,900009;900008;0;600301;600302;600303;10005;200001;220001;三之卷，暗潮汹涌;3
100304;1003;0;100305;34;950058;900008,900009;900008;0;600401;600402;600403;10003;200001;220001;四之卷，凝视深渊;3
100305;1003;0;400301;35;950052;900008,900009;900009;0;600501;600502;600503;10002;200001;220001;终卷，惟黑暗不灭;4
400301;1003;0;400302;36;950057;900007,900008;900007;0;600101;600102;600103;10004;200001;220001;一之卷，黑暗的觉醒;5
400302;1003;0;400303;37;950051;900007,900008;900007;0;600201;600202;600203;10001;200001;220001;二之卷，暗云蔽日;5
400303;1003;0;400304;38;950048;900008,900009;900008;0;600301;600302;600303;10005;200001;220001;三之卷，暗潮汹涌;6
400304;1003;0;400305;39;950053;900008,900009;900008;0;600401;600402;600403;10003;200001;220001;四之卷，凝视深渊;6
400305;1003;0;;40;950054;900008,900009;900009;0;600501;600504;600503;10002;200001;220001;终卷，惟黑暗不灭;7
100401;1004;1;100402;41;950067;900010,900011;900010;0;700101;700102;700103;20003;200001;220001;一之卷，潮汐再起;2
100402;1004;0;100403;42;950068;900010,900011;900010;0;700201;700202;700203;20003;200001;220001;二之卷，完美无缺之月;2
100403;1004;0;100404;43;950069;900011,900012;900011;0;700301;700302;700303;20003;200001;220001;三之卷，超越阳炎的月光;3
100404;1004;0;100405;44;950070;900011,900012;900011;0;700401;700402;700403;20003;200001;220001;四之卷，月崩;3
100405;1004;0;400401;45;950065;900011,900012;900012;0;700501;700502;700503;20003;200001;220001;终卷，月之阴;4
400401;1004;0;400402;46;950071;900010,900011;900010;0;700101;700102;700103;20003;200001;220001;一之卷，潮汐再起;5
400402;1004;0;400403;47;950072;900010,900011;900010;0;700201;700202;700203;20003;200001;220001;二之卷，完美无缺之月;5
400403;1004;0;400404;48;950073;900011,900012;900011;0;700301;700302;700303;20003;200001;220001;三之卷，超越阳炎的月光;6
400404;1004;0;400405;49;950074;900011,900012;900011;0;700401;700402;700403;20003;200001;220001;四之卷，月崩;6
400405;1004;0;;50;950066;900011,900012;900012;0;700501;700504;700503;20003;200001;220001;终卷，月之阴;7
100501;1005;1;100502;51;950075;900013,900014;900013;0;700601;700602;700603;20001;200001;220001;一之卷，积怨的深渊;1
100502;1005;0;100503;52;950076;900013,900014;900013;0;700604;700605;700606;10002;200001;220001;二之卷，仇恨之楔;1
100503;1005;0;100504;53;950077;900014,900015;900014;0;700607;700608;700609;10004;200001;220001;三之卷，稳固的根基下;2
100504;1005;0;100505;54;950078;900014,900015;900014;0;700610;700611;700612;10001;200001;220001;四之卷，再起的大愿;2
100505;1005;0;100506;55;950079;900014,900015;900014;0;700613;700614;700615;10001;200001;220001;终卷，复仇之眼;3
100506;1005;0;100507;56;950080;900014,900015;900015;0;700616;700617;700618;10006;200001;220001;里之卷，正义;7
100507;1005;0;;57;950081;900014,900015;900015;0;700616;700619;700618;10006;200001;220001;里之卷，正义【终】;7
100599;1006;0;;61;950082;900016,900016;900018;0;700701;700702;700703;10006;200001;220001;一之卷，波乱未平;2
100600;1006;0;;61;950082;900016,900016;900017;0;700701;700702;700703;10006;200001;220001;一之卷，波乱未平;3
100601;1006;1;100602;61;950082;900016,900017;900016;0;700701;700702;700703;10006;200001;220001;一之卷，波乱未平;4
100602;1006;0;100603;62;950083;900016,900017;900016;0;700704;700705;700706;10002;200001;220001;二之卷，积怨的泥沼;5
100603;1006;0;100604;63;950084;900018,900017;900017;0;700707;700708;700709;10002;200001;220001;三之卷，阿斯嘉德之勇;4
100604;1006;0;100605;64;950085;900018,900017;900017;0;700710;700711;700712;10002;200001;220001;四之卷，恨的囚笼;6
100605;1006;0;100606;65;950086;900018,900017;900018;0;700713;700714;700715;10002;200001;220001;终卷，噩梦;6
100606;1006;0;;66;950087;900018,900017;900018;0;700713;700716;700715;10002;200001;220001;终卷，噩梦（???）;7
100701;1007;1;100702;67;950077;900016,900017;900016;0;700801;700802;700803;10001;200001;220001;一之卷，围攻;5
100702;1007;0;100703;68;950075;900016,900017;900016;0;700804;700805;700806;10001;200001;220001;二之卷，陷阱;4
100703;1007;0;100704;69;950076;900018,900017;900017;0;700807;700808;700809;10001;200001;220001;三之卷，追击;7
100704;1007;0;100705;70;950078;900018,900017;900017;0;700810;700811;700812;10001;200001;220001;四之卷，决意;4
100705;1007;0;100706;71;950041;900018,900017;900018;0;700813;700814;700815;10001;200001;220001;五之卷，死兵;4
100706;1007;0;100707;72;2970002;900018,900017;900018;0;700816;700817;700818;10001;200001;220001;终卷，才能;3
100707;1007;0;;73;2970001;900018,900017;900018;0;700816;700819;700818;10001;200001;220001;终卷，才能（???）;4
100801;1008;1;100802;74;2970005;968888;;0;700901;700902;700903;10005;200001;220001;一之卷，惶惑的旅路;2
100802;1008;0;100803;75;2970006;968888;;0;700904;700905;700906;10005;200001;220001;二之卷，迷失之灵;2
100803;1008;0;100804;76;2970007;968888;;0;700907;700908;700909;10004;200001;220001;三之卷，抗拒;3
100804;1008;0;100805;77;2970008;968888;;0;700910;700911;700912;10004;200001;220001;四之卷，猿;4
100805;1008;0;;78;2970009;968888;;0;700913;700914;700915;10004;200001;220001;终卷，阳中之阴;5
100901;1009;1;100902;79;2970010;968888;;0;701001;701002;701003;20001;200001;220001;一之卷，波动;2
100902;1009;0;100903;80;2970011;968888;;0;701004;701005;701006;20001;200001;220001;二之卷，浪涌;3
100903;1009;0;100904;81;2970012;968888;;0;701007;701008;701009;10005;200001;220001;三之卷，漩涡;6
100904;1009;0;100905;82;2970013;968888;;0;701010;701011;701012;10005;200001;220001;四之卷，浊流;4
100905;1009;0;;83;2970014;968888;;0;701013;701014;701015;20001;200001;220001;终卷，洪流;6
101001;1010;1;101002;84;2970015;968888;;0;701101;701102;701103;20001;200001;220001;一之卷，预兆;3
101002;1010;0;101003;85;2970016;968888;;0;701104;701105;701106;10004;200001;220001;二之卷，代价;4
101003;1010;0;101004;86;2970017;968888;;0;701107;701108;701109;10004;200001;220001;三之卷，袭来;5
101004;1010;0;101005;87;2970018;968888;;0;701110;701111;701112;10004;200001;220001;四之卷，挣扎;6
101005;1010;0;;88;2970019;968888;;0;701113;701114;701115;10001;200001;220001;终卷，更大的疑团;4
