任务ID;昵称;描述;任务icon;任务行为;行为指数;任务奖励包;下一个任务;是否是入口任务;任务类型;活动任务开始时间;活动任务结束时间;是否处于调试中;主任务
1000;应援;为神代应援~!;205401;999;1;400020;;0;5;;;0;
1001;逆转;使用5张神迹卡;200101;1;5;400020;;0;1;;;0;
1002;逆转;使用10张神迹卡;200101;1;10;400040;;0;1;;;0;
1003;逆转;使用15张神迹卡;200101;1;15;400060;;0;1;;;0;
1004;逆转;使用20张神迹卡;200101;1;20;400080;;0;1;;;0;
1005;弹幕使;使用5张弹幕卡;200101;2;5;400020;;0;1;;;0;
1006;弹幕使;使用10张弹幕卡;200101;2;10;400040;;0;1;;;0;
1007;弹幕使;使用15张弹幕卡;200101;2;15;400060;;0;1;;;0;
1008;弹幕使;使用20张弹幕卡;200101;2;20;400080;;0;1;;;0;
1009;击杀从者;攻击击杀3个附属神;200301;3;3;400020;;0;1;;;0;
1010;击杀从者;攻击击杀6个附属神;200301;3;6;400050;;0;1;;;0;
1011;击杀从者;攻击击杀10个附属神;200301;3;10;400080;;0;1;;;0;
1012;胜利者;取得1场胜利;200401;5;1;400040;;0;1;;;0;
1013;胜利者;取得3场胜利;200401;5;3;400070;;0;1;;;0;
1014;胜利者;取得5场胜利;200401;5;5;400090;;0;1;;;0;
1015;决斗者;进行4场游戏;200401;4;4;400020;;0;1;;;0;
1016;决斗者;进行6场游戏;200401;4;6;400030;;0;1;;;0;
1017;决斗者;进行8场游戏;200401;4;8;400040;;0;1;;;0;
1018;决斗者;进行10场游戏;200401;4;10;400060;;0;1;;;0;
1019;请问你是老子的master吗?;抽卡1次;205401;54;1;400050;;0;1;;;0;
1020;友谊赛;与好友对决一次;207401;74;1;400050;;0;1;;;0;
1021;阿斯加德的支持者;使用奥丁获得1次胜利;210101;101;1;400030;;0;1;;;0;
1022;阿斯加德的支持者;使用奥丁获得2次胜利;210101;101;2;400050;;0;1;;;0;
1023;阿斯加德的支持者;使用奥丁获得3次胜利;210101;101;3;400070;;0;1;;;0;
1024;高天原的支持者;使用天照获得1次胜利;210201;102;1;400030;;0;1;;;0;
1025;高天原的支持者;使用天照获得2次胜利;210201;102;2;400050;;0;1;;;0;
1026;高天原的支持者;使用天照获得3次胜利;210201;102;3;400070;;0;1;;;0;
1027;太清殿的支持者;使用道德天尊获得1次胜利;210401;104;1;400030;;0;1;;;0;
1028;太清殿的支持者;使用道德天尊获得2次胜利;210401;104;2;400050;;0;1;;;0;
1029;太清殿的支持者;使用道德天尊获得3次胜利;210401;104;3;400070;;0;1;;;0;
1030;尼芙尔海姆的支持者;使用伊米尔获得1次胜利;210301;103;1;400030;;0;1;;;0;
1031;尼芙尔海姆的支持者;使用伊米尔获得2次胜利;210301;103;2;400050;;0;1;;;0;
1032;尼芙尔海姆的支持者;使用伊米尔获得3次胜利;210301;103;3;400070;;0;1;;;0;
1033;啪啪啪;攻击击杀总计单位_3;210301;105;3;400020;;0;1;;;0;
1034;啪啪啪;攻击击杀总计单位_6;210301;105;6;400040;;0;1;;;0;
1035;啪啪啪;攻击击杀总计单位_9;210301;105;9;400060;;0;1;;;0;
1036;啪啪啪;攻击击杀总计单位_12;210301;105;12;400080;;0;1;;;0;
1037;神威;使用主神技能1次;200101;106;1;400030;;0;1;;;0;
1038;神威;使用主神技能2次;200101;106;2;400050;;0;1;;;0;
1039;神威;使用主神技能3次;200101;106;3;400070;;0;1;;;0;
1040;雾霾退散;战斗中驱散16个迷雾区域;210701;107;16;400030;;0;1;;;0;
1041;雾霾退散;战斗中驱散32个迷雾区域;210701;107;32;400050;;0;1;;;0;
1042;雾霾退散;战斗中驱散48个迷雾区域;210701;107;48;400070;;0;1;;;0;
2101;卡组构成;编辑出战卡组;205501;80;1;400100;2102;1;3;;;1;2101
2102;第二套卡组构成;设置第二套卡组;205501;55;1;400100;;1;3;;;0;2102
2201;弹幕收集;拥有30张不同的弹幕卡;210801;108;30;400100;2202;1;3;;;0;2201
2202;回忆收集;拥有30张不同的神迹卡;210801;109;30;400100;2203;0;3;;;0;2201
2203;人才济济;拥有10位不同的附属神;210801;110;10;400100;2204;0;3;;;0;2201
2204;弹幕收藏家;拥有5张不同的品质为传说的弹幕卡;210801;111;5;400200;2205;0;3;;;0;2201
2205;人才济济2;拥有2位品质为稀有的附属神;210801;112;2;400200;2206;0;3;;;0;2201
2206;哈雷姆;拥有1位品质为传说的附属神;210801;113;1;400300;;0;3;;;0;2201
2301;第一步;进行一场对战;206501;4;1;400100;2302;1;3;;;0;2301
2302;十胜;获得十场争乱模式胜利;206501;65;10;400100;2303;0;3;;;0;2301
2303;身经百战;获得五十场争乱模式胜利;206501;65;50;400200;2304;0;3;;;0;2301
2304;百胜;获得一百场争乱模式胜利;206501;65;100;400300;2305;0;3;;;0;2301
2305;和平使者;获得五百场争乱模式胜利;206501;65;500;400500;;0;3;;;0;2301
2306;天梯挑战者;获得一场天梯模式胜利;206701;67;1;400100;2307;1;3;;;0;2306
2307;天梯挑战者;进行十场天梯模式;206701;67;10;400100;2308;0;3;;;0;2306
2308;天梯挑战者;进行五十场天梯模式;206701;67;50;400250;2309;0;3;;;0;2306
2309;天梯挑战者;进行一百场天梯模式;206701;67;100;400500;;0;3;;;0;2306
2310;天梯挑战1;天梯模式达到1100;211401;114;1;400100;2311;0;3;;;1;
2311;天梯挑战2;天梯模式达到1200;211401;114;2;400200;2312;0;3;;;1;2310
2312;天梯挑战3;天梯模式达到1300;211401;114;3;400300;2313;0;3;;;1;2310
2313;天梯挑战4;天梯模式达到1400;211401;114;4;400400;2314;0;3;;;1;2310
2314;天梯挑战5;天梯模式达到1500;211401;114;5;400500;2315;0;3;;;1;2310
2315;天梯挑战6;天梯模式达到1600;211401;114;6;400600;2316;0;3;;;1;2310
2316;天梯挑战7;天梯模式达到1700;211401;114;7;400700;2317;0;3;;;1;2310
2317;天梯挑战8;天梯模式达到1800;211401;114;8;400800;2318;0;3;;;1;2310
2318;天梯挑战9;天梯模式达到1900;211401;114;9;400900;2319;0;3;;;1;2310
2319;天梯挑战10;天梯模式达到2000;211401;114;10;401000;;0;3;;;1;2310
2401;你OO是老子的master吗?;进行一次召唤;205401;54;1;400050;2402;1;3;;;0;2401
2402;你OO是老子的master吗?第二季;进行十次召唤;205401;54;10;400100;2403;0;3;;;0;2401
2403;你OO是老子的master吗?第三季;进行五十次召唤;205401;54;50;400100;2404;0;3;;;0;2401
2404;你OO是老子的master吗?第四季;进行一百次召唤;205401;54;100;400250;2405;0;3;;;0;2401
2405;你OO是老子的master吗?第五季;进行二百三十三次召唤;205401;54;233;400500;;0;3;;;0;2401
2501;信仰 高天原;天照等级达到2;210201;201;2;400050;2502;1;3;;;0;2501
2502;信仰 高天原;天照等级达到3;210201;201;3;400050;2503;0;3;;;0;2501
2503;信仰 高天原;天照等级达到4;210201;201;4;400050;2504;0;3;;;0;2501
2504;信仰 高天原;天照等级达到5;210201;201;5;400050;2505;0;3;;;0;2501
2505;信仰 高天原;天照等级达到6;210201;201;6;400050;2506;0;3;;;0;2501
2506;信仰 高天原;天照等级达到7;210201;201;7;400050;2507;0;3;;;0;2501
2507;信仰 高天原;天照等级达到8;210201;201;8;400050;2508;0;3;;;0;2501
2508;信仰 高天原;天照等级达到9;210201;201;9;400050;2509;0;3;;;0;2501
2509;信仰 高天原;天照等级达到10;210201;201;10;400050;2510;0;3;;;0;2501
2510;信仰 高天原;天照等级达到11;210201;201;11;400050;2511;0;3;;;0;2501
2511;信仰 高天原;天照等级达到12;210201;201;12;400050;2512;0;3;;;0;2501
2512;信仰 高天原;天照等级达到13;210201;201;13;400050;2513;0;3;;;0;2501
2513;信仰 高天原;天照等级达到14;210201;201;14;400050;2514;0;3;;;0;2501
2514;信仰 高天原;天照等级达到15;210201;201;15;400050;2515;0;3;;;0;2501
2515;信仰 高天原;天照等级达到16;210201;201;16;400050;2516;0;3;;;0;2501
2516;信仰 高天原;天照等级达到17;210201;201;17;400050;2517;0;3;;;0;2501
2517;信仰 高天原;天照等级达到18;210201;201;18;400050;2518;0;3;;;0;2501
2518;信仰 高天原;天照等级达到19;210201;201;19;400050;2519;0;3;;;0;2501
2519;信仰 高天原;天照等级达到20;210201;201;20;400050;2520;0;3;;;0;2501
2520;信仰 高天原;天照等级达到21;210201;201;21;400050;2521;0;3;;;0;2501
2521;信仰 高天原;天照等级达到22;210201;201;22;400050;2522;0;3;;;0;2501
2522;信仰 高天原;天照等级达到23;210201;201;23;400050;2523;0;3;;;0;2501
2523;信仰 高天原;天照等级达到24;210201;201;24;400050;2524;0;3;;;0;2501
2524;信仰 高天原;天照等级达到25;210201;201;25;400050;2525;0;3;;;0;2501
2525;信仰 高天原;天照等级达到26;210201;201;26;400050;2526;0;3;;;0;2501
2526;信仰 高天原;天照等级达到27;210201;201;27;400050;2527;0;3;;;0;2501
2527;信仰 高天原;天照等级达到28;210201;201;28;400050;2528;0;3;;;0;2501
2528;信仰 高天原;天照等级达到29;210201;201;29;400050;2529;0;3;;;0;2501
2529;信仰 高天原;天照等级达到30;210201;201;30;400050;2530;0;3;;;0;2501
2530;信仰 高天原;天照等级达到31;210201;201;31;400050;2531;0;3;;;0;2501
2531;信仰 高天原;天照等级达到32;210201;201;32;400050;2532;0;3;;;0;2501
2532;信仰 高天原;天照等级达到33;210201;201;33;400050;2533;0;3;;;0;2501
2533;信仰 高天原;天照等级达到34;210201;201;34;400050;2534;0;3;;;0;2501
2534;信仰 高天原;天照等级达到35;210201;201;35;400050;2535;0;3;;;0;2501
2535;信仰 高天原;天照等级达到36;210201;201;36;400050;2536;0;3;;;0;2501
2536;信仰 高天原;天照等级达到37;210201;201;37;400050;2537;0;3;;;0;2501
2537;信仰 高天原;天照等级达到38;210201;201;38;400050;2538;0;3;;;0;2501
2538;信仰 高天原;天照等级达到39;210201;201;39;400050;2539;0;3;;;0;2501
2539;信仰 高天原;天照等级达到40;210201;201;40;400050;2540;0;3;;;0;2501
2540;信仰 高天原;天照等级达到41;210201;201;41;400050;2541;0;3;;;0;2501
2541;信仰 高天原;天照等级达到42;210201;201;42;400050;2542;0;3;;;0;2501
2542;信仰 高天原;天照等级达到43;210201;201;43;400050;2543;0;3;;;0;2501
2543;信仰 高天原;天照等级达到44;210201;201;44;400050;2544;0;3;;;0;2501
2544;信仰 高天原;天照等级达到45;210201;201;45;400050;2545;0;3;;;0;2501
2545;信仰 高天原;天照等级达到46;210201;201;46;400050;2546;0;3;;;0;2501
2546;信仰 高天原;天照等级达到47;210201;201;47;400050;2547;0;3;;;0;2501
2547;信仰 高天原;天照等级达到48;210201;201;48;400050;2548;0;3;;;0;2501
2548;信仰 高天原;天照等级达到49;210201;201;49;400050;2549;0;3;;;0;2501
2549;信仰 高天原;天照等级达到50;210201;201;50;400050;2550;0;3;;;0;2501
2550;信仰 高天原;天照等级达到51;210201;201;51;400050;2551;0;3;;;0;2501
2551;信仰 高天原;天照等级达到52;210201;201;52;400050;2552;0;3;;;0;2501
2552;信仰 高天原;天照等级达到53;210201;201;53;400050;2553;0;3;;;0;2501
2553;信仰 高天原;天照等级达到54;210201;201;54;400050;2554;0;3;;;0;2501
2554;信仰 高天原;天照等级达到55;210201;201;55;400050;2555;0;3;;;0;2501
2555;信仰 高天原;天照等级达到56;210201;201;56;400050;2556;0;3;;;0;2501
2556;信仰 高天原;天照等级达到57;210201;201;57;400050;2557;0;3;;;0;2501
2557;信仰 高天原;天照等级达到58;210201;201;58;400050;2558;0;3;;;0;2501
2558;信仰 高天原;天照等级达到59;210201;201;59;400050;2559;0;3;;;0;2501
2559;信仰 高天原;天照等级达到60;210201;201;60;400050;2560;0;3;;;0;2501
2560;信仰 高天原;天照等级达到61;210201;201;61;400050;2561;0;3;;;0;2501
2561;信仰 高天原;天照等级达到62;210201;201;62;400050;2562;0;3;;;0;2501
2562;信仰 高天原;天照等级达到63;210201;201;63;400050;2563;0;3;;;0;2501
2563;信仰 高天原;天照等级达到64;210201;201;64;400050;2564;0;3;;;0;2501
2564;信仰 高天原;天照等级达到65;210201;201;65;400050;2565;0;3;;;0;2501
2565;信仰 高天原;天照等级达到66;210201;201;66;400050;2566;0;3;;;0;2501
2566;信仰 高天原;天照等级达到67;210201;201;67;400050;2567;0;3;;;0;2501
2567;信仰 高天原;天照等级达到68;210201;201;68;400050;2568;0;3;;;0;2501
2568;信仰 高天原;天照等级达到69;210201;201;69;400050;2569;0;3;;;0;2501
2569;信仰 高天原;天照等级达到70;210201;201;70;400050;2570;0;3;;;0;2501
2570;信仰 高天原;天照等级达到71;210201;201;71;400050;2571;0;3;;;0;2501
2571;信仰 高天原;天照等级达到72;210201;201;72;400050;2572;0;3;;;0;2501
2572;信仰 高天原;天照等级达到73;210201;201;73;400050;2573;0;3;;;0;2501
2573;信仰 高天原;天照等级达到74;210201;201;74;400050;2574;0;3;;;0;2501
2574;信仰 高天原;天照等级达到75;210201;201;75;400050;2575;0;3;;;0;2501
2575;信仰 高天原;天照等级达到76;210201;201;76;400050;2576;0;3;;;0;2501
2576;信仰 高天原;天照等级达到77;210201;201;77;400050;2577;0;3;;;0;2501
2577;信仰 高天原;天照等级达到78;210201;201;78;400050;2578;0;3;;;0;2501
2578;信仰 高天原;天照等级达到79;210201;201;79;400050;2579;0;3;;;0;2501
2579;信仰 高天原;天照等级达到80;210201;201;80;400050;2580;0;3;;;0;2501
2580;信仰 高天原;天照等级达到81;210201;201;81;400050;2581;0;3;;;0;2501
2581;信仰 高天原;天照等级达到82;210201;201;82;400050;2582;0;3;;;0;2501
2582;信仰 高天原;天照等级达到83;210201;201;83;400050;2583;0;3;;;0;2501
2583;信仰 高天原;天照等级达到84;210201;201;84;400050;2584;0;3;;;0;2501
2584;信仰 高天原;天照等级达到85;210201;201;85;400050;2585;0;3;;;0;2501
2585;信仰 高天原;天照等级达到86;210201;201;86;400050;2586;0;3;;;0;2501
2586;信仰 高天原;天照等级达到87;210201;201;87;400050;2587;0;3;;;0;2501
2587;信仰 高天原;天照等级达到88;210201;201;88;400050;2588;0;3;;;0;2501
2588;信仰 高天原;天照等级达到89;210201;201;89;400050;2589;0;3;;;0;2501
2589;信仰 高天原;天照等级达到90;210201;201;90;400050;2590;0;3;;;0;2501
2590;信仰 高天原;天照等级达到91;210201;201;91;400050;2591;0;3;;;0;2501
2591;信仰 高天原;天照等级达到92;210201;201;92;400050;2592;0;3;;;0;2501
2592;信仰 高天原;天照等级达到93;210201;201;93;400050;2593;0;3;;;0;2501
2593;信仰 高天原;天照等级达到94;210201;201;94;400050;2594;0;3;;;0;2501
2594;信仰 高天原;天照等级达到95;210201;201;95;400050;2595;0;3;;;0;2501
2595;信仰 高天原;天照等级达到96;210201;201;96;400050;2596;0;3;;;0;2501
2596;信仰 高天原;天照等级达到97;210201;201;97;400050;2597;0;3;;;0;2501
2597;信仰 高天原;天照等级达到98;210201;201;98;400050;2598;0;3;;;0;2501
2598;信仰 高天原;天照等级达到99;210201;201;99;400050;2599;0;3;;;0;2501
2599;信仰 高天原;天照等级达到100;210201;201;100;400050;;0;3;;;0;2501
2601;信仰 阿斯加德;奥丁等级达到2;210101;202;2;400050;2602;1;3;;;0;2601
2602;信仰 阿斯加德;奥丁等级达到3;210101;202;3;400050;2603;0;3;;;0;2601
2603;信仰 阿斯加德;奥丁等级达到4;210101;202;4;400050;2604;0;3;;;0;2601
2604;信仰 阿斯加德;奥丁等级达到5;210101;202;5;400050;2605;0;3;;;0;2601
2605;信仰 阿斯加德;奥丁等级达到6;210101;202;6;400050;2606;0;3;;;0;2601
2606;信仰 阿斯加德;奥丁等级达到7;210101;202;7;400050;2607;0;3;;;0;2601
2607;信仰 阿斯加德;奥丁等级达到8;210101;202;8;400050;2608;0;3;;;0;2601
2608;信仰 阿斯加德;奥丁等级达到9;210101;202;9;400050;2609;0;3;;;0;2601
2609;信仰 阿斯加德;奥丁等级达到10;210101;202;10;400050;2610;0;3;;;0;2601
2610;信仰 阿斯加德;奥丁等级达到11;210101;202;11;400050;2611;0;3;;;0;2601
2611;信仰 阿斯加德;奥丁等级达到12;210101;202;12;400050;2612;0;3;;;0;2601
2612;信仰 阿斯加德;奥丁等级达到13;210101;202;13;400050;2613;0;3;;;0;2601
2613;信仰 阿斯加德;奥丁等级达到14;210101;202;14;400050;2614;0;3;;;0;2601
2614;信仰 阿斯加德;奥丁等级达到15;210101;202;15;400050;2615;0;3;;;0;2601
2615;信仰 阿斯加德;奥丁等级达到16;210101;202;16;400050;2616;0;3;;;0;2601
2616;信仰 阿斯加德;奥丁等级达到17;210101;202;17;400050;2617;0;3;;;0;2601
2617;信仰 阿斯加德;奥丁等级达到18;210101;202;18;400050;2618;0;3;;;0;2601
2618;信仰 阿斯加德;奥丁等级达到19;210101;202;19;400050;2619;0;3;;;0;2601
2619;信仰 阿斯加德;奥丁等级达到20;210101;202;20;400050;2620;0;3;;;0;2601
2620;信仰 阿斯加德;奥丁等级达到21;210101;202;21;400050;2621;0;3;;;0;2601
2621;信仰 阿斯加德;奥丁等级达到22;210101;202;22;400050;2622;0;3;;;0;2601
2622;信仰 阿斯加德;奥丁等级达到23;210101;202;23;400050;2623;0;3;;;0;2601
2623;信仰 阿斯加德;奥丁等级达到24;210101;202;24;400050;2624;0;3;;;0;2601
2624;信仰 阿斯加德;奥丁等级达到25;210101;202;25;400050;2625;0;3;;;0;2601
2625;信仰 阿斯加德;奥丁等级达到26;210101;202;26;400050;2626;0;3;;;0;2601
2626;信仰 阿斯加德;奥丁等级达到27;210101;202;27;400050;2627;0;3;;;0;2601
2627;信仰 阿斯加德;奥丁等级达到28;210101;202;28;400050;2628;0;3;;;0;2601
2628;信仰 阿斯加德;奥丁等级达到29;210101;202;29;400050;2629;0;3;;;0;2601
2629;信仰 阿斯加德;奥丁等级达到30;210101;202;30;400050;2630;0;3;;;0;2601
2630;信仰 阿斯加德;奥丁等级达到31;210101;202;31;400050;2631;0;3;;;0;2601
2631;信仰 阿斯加德;奥丁等级达到32;210101;202;32;400050;2632;0;3;;;0;2601
2632;信仰 阿斯加德;奥丁等级达到33;210101;202;33;400050;2633;0;3;;;0;2601
2633;信仰 阿斯加德;奥丁等级达到34;210101;202;34;400050;2634;0;3;;;0;2601
2634;信仰 阿斯加德;奥丁等级达到35;210101;202;35;400050;2635;0;3;;;0;2601
2635;信仰 阿斯加德;奥丁等级达到36;210101;202;36;400050;2636;0;3;;;0;2601
2636;信仰 阿斯加德;奥丁等级达到37;210101;202;37;400050;2637;0;3;;;0;2601
2637;信仰 阿斯加德;奥丁等级达到38;210101;202;38;400050;2638;0;3;;;0;2601
2638;信仰 阿斯加德;奥丁等级达到39;210101;202;39;400050;2639;0;3;;;0;2601
2639;信仰 阿斯加德;奥丁等级达到40;210101;202;40;400050;2640;0;3;;;0;2601
2640;信仰 阿斯加德;奥丁等级达到41;210101;202;41;400050;2641;0;3;;;0;2601
2641;信仰 阿斯加德;奥丁等级达到42;210101;202;42;400050;2642;0;3;;;0;2601
2642;信仰 阿斯加德;奥丁等级达到43;210101;202;43;400050;2643;0;3;;;0;2601
2643;信仰 阿斯加德;奥丁等级达到44;210101;202;44;400050;2644;0;3;;;0;2601
2644;信仰 阿斯加德;奥丁等级达到45;210101;202;45;400050;2645;0;3;;;0;2601
2645;信仰 阿斯加德;奥丁等级达到46;210101;202;46;400050;2646;0;3;;;0;2601
2646;信仰 阿斯加德;奥丁等级达到47;210101;202;47;400050;2647;0;3;;;0;2601
2647;信仰 阿斯加德;奥丁等级达到48;210101;202;48;400050;2648;0;3;;;0;2601
2648;信仰 阿斯加德;奥丁等级达到49;210101;202;49;400050;2649;0;3;;;0;2601
2649;信仰 阿斯加德;奥丁等级达到50;210101;202;50;400050;2650;0;3;;;0;2601
2650;信仰 阿斯加德;奥丁等级达到51;210101;202;51;400050;2651;0;3;;;0;2601
2651;信仰 阿斯加德;奥丁等级达到52;210101;202;52;400050;2652;0;3;;;0;2601
2652;信仰 阿斯加德;奥丁等级达到53;210101;202;53;400050;2653;0;3;;;0;2601
2653;信仰 阿斯加德;奥丁等级达到54;210101;202;54;400050;2654;0;3;;;0;2601
2654;信仰 阿斯加德;奥丁等级达到55;210101;202;55;400050;2655;0;3;;;0;2601
2655;信仰 阿斯加德;奥丁等级达到56;210101;202;56;400050;2656;0;3;;;0;2601
2656;信仰 阿斯加德;奥丁等级达到57;210101;202;57;400050;2657;0;3;;;0;2601
2657;信仰 阿斯加德;奥丁等级达到58;210101;202;58;400050;2658;0;3;;;0;2601
2658;信仰 阿斯加德;奥丁等级达到59;210101;202;59;400050;2659;0;3;;;0;2601
2659;信仰 阿斯加德;奥丁等级达到60;210101;202;60;400050;2660;0;3;;;0;2601
2660;信仰 阿斯加德;奥丁等级达到61;210101;202;61;400050;2661;0;3;;;0;2601
2661;信仰 阿斯加德;奥丁等级达到62;210101;202;62;400050;2662;0;3;;;0;2601
2662;信仰 阿斯加德;奥丁等级达到63;210101;202;63;400050;2663;0;3;;;0;2601
2663;信仰 阿斯加德;奥丁等级达到64;210101;202;64;400050;2664;0;3;;;0;2601
2664;信仰 阿斯加德;奥丁等级达到65;210101;202;65;400050;2665;0;3;;;0;2601
2665;信仰 阿斯加德;奥丁等级达到66;210101;202;66;400050;2666;0;3;;;0;2601
2666;信仰 阿斯加德;奥丁等级达到67;210101;202;67;400050;2667;0;3;;;0;2601
2667;信仰 阿斯加德;奥丁等级达到68;210101;202;68;400050;2668;0;3;;;0;2601
2668;信仰 阿斯加德;奥丁等级达到69;210101;202;69;400050;2669;0;3;;;0;2601
2669;信仰 阿斯加德;奥丁等级达到70;210101;202;70;400050;2670;0;3;;;0;2601
2670;信仰 阿斯加德;奥丁等级达到71;210101;202;71;400050;2671;0;3;;;0;2601
2671;信仰 阿斯加德;奥丁等级达到72;210101;202;72;400050;2672;0;3;;;0;2601
2672;信仰 阿斯加德;奥丁等级达到73;210101;202;73;400050;2673;0;3;;;0;2601
2673;信仰 阿斯加德;奥丁等级达到74;210101;202;74;400050;2674;0;3;;;0;2601
2674;信仰 阿斯加德;奥丁等级达到75;210101;202;75;400050;2675;0;3;;;0;2601
2675;信仰 阿斯加德;奥丁等级达到76;210101;202;76;400050;2676;0;3;;;0;2601
2676;信仰 阿斯加德;奥丁等级达到77;210101;202;77;400050;2677;0;3;;;0;2601
2677;信仰 阿斯加德;奥丁等级达到78;210101;202;78;400050;2678;0;3;;;0;2601
2678;信仰 阿斯加德;奥丁等级达到79;210101;202;79;400050;2679;0;3;;;0;2601
2679;信仰 阿斯加德;奥丁等级达到80;210101;202;80;400050;2680;0;3;;;0;2601
2680;信仰 阿斯加德;奥丁等级达到81;210101;202;81;400050;2681;0;3;;;0;2601
2681;信仰 阿斯加德;奥丁等级达到82;210101;202;82;400050;2682;0;3;;;0;2601
2682;信仰 阿斯加德;奥丁等级达到83;210101;202;83;400050;2683;0;3;;;0;2601
2683;信仰 阿斯加德;奥丁等级达到84;210101;202;84;400050;2684;0;3;;;0;2601
2684;信仰 阿斯加德;奥丁等级达到85;210101;202;85;400050;2685;0;3;;;0;2601
2685;信仰 阿斯加德;奥丁等级达到86;210101;202;86;400050;2686;0;3;;;0;2601
2686;信仰 阿斯加德;奥丁等级达到87;210101;202;87;400050;2687;0;3;;;0;2601
2687;信仰 阿斯加德;奥丁等级达到88;210101;202;88;400050;2688;0;3;;;0;2601
2688;信仰 阿斯加德;奥丁等级达到89;210101;202;89;400050;2689;0;3;;;0;2601
2689;信仰 阿斯加德;奥丁等级达到90;210101;202;90;400050;2690;0;3;;;0;2601
2690;信仰 阿斯加德;奥丁等级达到91;210101;202;91;400050;2691;0;3;;;0;2601
2691;信仰 阿斯加德;奥丁等级达到92;210101;202;92;400050;2692;0;3;;;0;2601
2692;信仰 阿斯加德;奥丁等级达到93;210101;202;93;400050;2693;0;3;;;0;2601
2693;信仰 阿斯加德;奥丁等级达到94;210101;202;94;400050;2694;0;3;;;0;2601
2694;信仰 阿斯加德;奥丁等级达到95;210101;202;95;400050;2695;0;3;;;0;2601
2695;信仰 阿斯加德;奥丁等级达到96;210101;202;96;400050;2696;0;3;;;0;2601
2696;信仰 阿斯加德;奥丁等级达到97;210101;202;97;400050;2697;0;3;;;0;2601
2697;信仰 阿斯加德;奥丁等级达到98;210101;202;98;400050;2698;0;3;;;0;2601
2698;信仰 阿斯加德;奥丁等级达到99;210101;202;99;400050;2699;0;3;;;0;2601
2699;信仰 阿斯加德;奥丁等级达到100;210101;202;100;400050;;0;3;;;0;2601
2701;信仰 太清殿;老君等级达到2;210401;203;2;400050;2702;1;3;;;0;2701
2702;信仰 太清殿;老君等级达到3;210401;203;3;400050;2703;0;3;;;0;2701
2703;信仰 太清殿;老君等级达到4;210401;203;4;400050;2704;0;3;;;0;2701
2704;信仰 太清殿;老君等级达到5;210401;203;5;400050;2705;0;3;;;0;2701
2705;信仰 太清殿;老君等级达到6;210401;203;6;400050;2706;0;3;;;0;2701
2706;信仰 太清殿;老君等级达到7;210401;203;7;400050;2707;0;3;;;0;2701
2707;信仰 太清殿;老君等级达到8;210401;203;8;400050;2708;0;3;;;0;2701
2708;信仰 太清殿;老君等级达到9;210401;203;9;400050;2709;0;3;;;0;2701
2709;信仰 太清殿;老君等级达到10;210401;203;10;400050;2710;0;3;;;0;2701
