任务ID;昵称;描述;任务icon;任务行为;行为指数;任务奖励包;下一个任务;是否是入口任务;任务类型;活动任务开始时间;活动任务结束时间;是否处于调试中;主任务
2710;信仰 太清殿;老君等级达到11;210401;203;11;400050;2711;0;3;;;0;2701
2711;信仰 太清殿;老君等级达到12;210401;203;12;400050;2712;0;3;;;0;2701
2712;信仰 太清殿;老君等级达到13;210401;203;13;400050;2713;0;3;;;0;2701
2713;信仰 太清殿;老君等级达到14;210401;203;14;400050;2714;0;3;;;0;2701
2714;信仰 太清殿;老君等级达到15;210401;203;15;400050;2715;0;3;;;0;2701
2715;信仰 太清殿;老君等级达到16;210401;203;16;400050;2716;0;3;;;0;2701
2716;信仰 太清殿;老君等级达到17;210401;203;17;400050;2717;0;3;;;0;2701
2717;信仰 太清殿;老君等级达到18;210401;203;18;400050;2718;0;3;;;0;2701
2718;信仰 太清殿;老君等级达到19;210401;203;19;400050;2719;0;3;;;0;2701
2719;信仰 太清殿;老君等级达到20;210401;203;20;400050;2720;0;3;;;0;2701
2720;信仰 太清殿;老君等级达到21;210401;203;21;400050;2721;0;3;;;0;2701
2721;信仰 太清殿;老君等级达到22;210401;203;22;400050;2722;0;3;;;0;2701
2722;信仰 太清殿;老君等级达到23;210401;203;23;400050;2723;0;3;;;0;2701
2723;信仰 太清殿;老君等级达到24;210401;203;24;400050;2724;0;3;;;0;2701
2724;信仰 太清殿;老君等级达到25;210401;203;25;400050;2725;0;3;;;0;2701
2725;信仰 太清殿;老君等级达到26;210401;203;26;400050;2726;0;3;;;0;2701
2726;信仰 太清殿;老君等级达到27;210401;203;27;400050;2727;0;3;;;0;2701
2727;信仰 太清殿;老君等级达到28;210401;203;28;400050;2728;0;3;;;0;2701
2728;信仰 太清殿;老君等级达到29;210401;203;29;400050;2729;0;3;;;0;2701
2729;信仰 太清殿;老君等级达到30;210401;203;30;400050;2730;0;3;;;0;2701
2730;信仰 太清殿;老君等级达到31;210401;203;31;400050;2731;0;3;;;0;2701
2731;信仰 太清殿;老君等级达到32;210401;203;32;400050;2732;0;3;;;0;2701
2732;信仰 太清殿;老君等级达到33;210401;203;33;400050;2733;0;3;;;0;2701
2733;信仰 太清殿;老君等级达到34;210401;203;34;400050;2734;0;3;;;0;2701
2734;信仰 太清殿;老君等级达到35;210401;203;35;400050;2735;0;3;;;0;2701
2735;信仰 太清殿;老君等级达到36;210401;203;36;400050;2736;0;3;;;0;2701
2736;信仰 太清殿;老君等级达到37;210401;203;37;400050;2737;0;3;;;0;2701
2737;信仰 太清殿;老君等级达到38;210401;203;38;400050;2738;0;3;;;0;2701
2738;信仰 太清殿;老君等级达到39;210401;203;39;400050;2739;0;3;;;0;2701
2739;信仰 太清殿;老君等级达到40;210401;203;40;400050;2740;0;3;;;0;2701
2740;信仰 太清殿;老君等级达到41;210401;203;41;400050;2741;0;3;;;0;2701
2741;信仰 太清殿;老君等级达到42;210401;203;42;400050;2742;0;3;;;0;2701
2742;信仰 太清殿;老君等级达到43;210401;203;43;400050;2743;0;3;;;0;2701
2743;信仰 太清殿;老君等级达到44;210401;203;44;400050;2744;0;3;;;0;2701
2744;信仰 太清殿;老君等级达到45;210401;203;45;400050;2745;0;3;;;0;2701
2745;信仰 太清殿;老君等级达到46;210401;203;46;400050;2746;0;3;;;0;2701
2746;信仰 太清殿;老君等级达到47;210401;203;47;400050;2747;0;3;;;0;2701
2747;信仰 太清殿;老君等级达到48;210401;203;48;400050;2748;0;3;;;0;2701
2748;信仰 太清殿;老君等级达到49;210401;203;49;400050;2749;0;3;;;0;2701
2749;信仰 太清殿;老君等级达到50;210401;203;50;400050;2750;0;3;;;0;2701
2750;信仰 太清殿;老君等级达到51;210401;203;51;400050;2751;0;3;;;0;2701
2751;信仰 太清殿;老君等级达到52;210401;203;52;400050;2752;0;3;;;0;2701
2752;信仰 太清殿;老君等级达到53;210401;203;53;400050;2753;0;3;;;0;2701
2753;信仰 太清殿;老君等级达到54;210401;203;54;400050;2754;0;3;;;0;2701
2754;信仰 太清殿;老君等级达到55;210401;203;55;400050;2755;0;3;;;0;2701
2755;信仰 太清殿;老君等级达到56;210401;203;56;400050;2756;0;3;;;0;2701
2756;信仰 太清殿;老君等级达到57;210401;203;57;400050;2757;0;3;;;0;2701
2757;信仰 太清殿;老君等级达到58;210401;203;58;400050;2758;0;3;;;0;2701
2758;信仰 太清殿;老君等级达到59;210401;203;59;400050;2759;0;3;;;0;2701
2759;信仰 太清殿;老君等级达到60;210401;203;60;400050;2760;0;3;;;0;2701
2760;信仰 太清殿;老君等级达到61;210401;203;61;400050;2761;0;3;;;0;2701
2761;信仰 太清殿;老君等级达到62;210401;203;62;400050;2762;0;3;;;0;2701
2762;信仰 太清殿;老君等级达到63;210401;203;63;400050;2763;0;3;;;0;2701
2763;信仰 太清殿;老君等级达到64;210401;203;64;400050;2764;0;3;;;0;2701
2764;信仰 太清殿;老君等级达到65;210401;203;65;400050;2765;0;3;;;0;2701
2765;信仰 太清殿;老君等级达到66;210401;203;66;400050;2766;0;3;;;0;2701
2766;信仰 太清殿;老君等级达到67;210401;203;67;400050;2767;0;3;;;0;2701
2767;信仰 太清殿;老君等级达到68;210401;203;68;400050;2768;0;3;;;0;2701
2768;信仰 太清殿;老君等级达到69;210401;203;69;400050;2769;0;3;;;0;2701
2769;信仰 太清殿;老君等级达到70;210401;203;70;400050;2770;0;3;;;0;2701
2770;信仰 太清殿;老君等级达到71;210401;203;71;400050;2771;0;3;;;0;2701
2771;信仰 太清殿;老君等级达到72;210401;203;72;400050;2772;0;3;;;0;2701
2772;信仰 太清殿;老君等级达到73;210401;203;73;400050;2773;0;3;;;0;2701
2773;信仰 太清殿;老君等级达到74;210401;203;74;400050;2774;0;3;;;0;2701
2774;信仰 太清殿;老君等级达到75;210401;203;75;400050;2775;0;3;;;0;2701
2775;信仰 太清殿;老君等级达到76;210401;203;76;400050;2776;0;3;;;0;2701
2776;信仰 太清殿;老君等级达到77;210401;203;77;400050;2777;0;3;;;0;2701
2777;信仰 太清殿;老君等级达到78;210401;203;78;400050;2778;0;3;;;0;2701
2778;信仰 太清殿;老君等级达到79;210401;203;79;400050;2779;0;3;;;0;2701
2779;信仰 太清殿;老君等级达到80;210401;203;80;400050;2780;0;3;;;0;2701
2780;信仰 太清殿;老君等级达到81;210401;203;81;400050;2781;0;3;;;0;2701
2781;信仰 太清殿;老君等级达到82;210401;203;82;400050;2782;0;3;;;0;2701
2782;信仰 太清殿;老君等级达到83;210401;203;83;400050;2783;0;3;;;0;2701
2783;信仰 太清殿;老君等级达到84;210401;203;84;400050;2784;0;3;;;0;2701
2784;信仰 太清殿;老君等级达到85;210401;203;85;400050;2785;0;3;;;0;2701
2785;信仰 太清殿;老君等级达到86;210401;203;86;400050;2786;0;3;;;0;2701
2786;信仰 太清殿;老君等级达到87;210401;203;87;400050;2787;0;3;;;0;2701
2787;信仰 太清殿;老君等级达到88;210401;203;88;400050;2788;0;3;;;0;2701
2788;信仰 太清殿;老君等级达到89;210401;203;89;400050;2789;0;3;;;0;2701
2789;信仰 太清殿;老君等级达到90;210401;203;90;400050;2790;0;3;;;0;2701
2790;信仰 太清殿;老君等级达到91;210401;203;91;400050;2791;0;3;;;0;2701
2791;信仰 太清殿;老君等级达到92;210401;203;92;400050;2792;0;3;;;0;2701
2792;信仰 太清殿;老君等级达到93;210401;203;93;400050;2793;0;3;;;0;2701
2793;信仰 太清殿;老君等级达到94;210401;203;94;400050;2794;0;3;;;0;2701
2794;信仰 太清殿;老君等级达到95;210401;203;95;400050;2795;0;3;;;0;2701
2795;信仰 太清殿;老君等级达到96;210401;203;96;400050;2796;0;3;;;0;2701
2796;信仰 太清殿;老君等级达到97;210401;203;97;400050;2797;0;3;;;0;2701
2797;信仰 太清殿;老君等级达到98;210401;203;98;400050;2798;0;3;;;0;2701
2798;信仰 太清殿;老君等级达到99;210401;203;99;400050;2799;0;3;;;0;2701
2799;信仰 太清殿;老君等级达到100;210401;203;100;400050;;0;3;;;0;2701
2801;信仰 尼夫尔海姆;伊米尔等级达到2;210301;204;2;400050;2802;1;3;;;0;2801
2802;信仰 尼夫尔海姆;伊米尔等级达到3;210301;204;3;400050;2803;0;3;;;0;2801
2803;信仰 尼夫尔海姆;伊米尔等级达到4;210301;204;4;400050;2804;0;3;;;0;2801
2804;信仰 尼夫尔海姆;伊米尔等级达到5;210301;204;5;400050;2805;0;3;;;0;2801
2805;信仰 尼夫尔海姆;伊米尔等级达到6;210301;204;6;400050;2806;0;3;;;0;2801
2806;信仰 尼夫尔海姆;伊米尔等级达到7;210301;204;7;400050;2807;0;3;;;0;2801
2807;信仰 尼夫尔海姆;伊米尔等级达到8;210301;204;8;400050;2808;0;3;;;0;2801
2808;信仰 尼夫尔海姆;伊米尔等级达到9;210301;204;9;400050;2809;0;3;;;0;2801
2809;信仰 尼夫尔海姆;伊米尔等级达到10;210301;204;10;400050;2810;0;3;;;0;2801
2810;信仰 尼夫尔海姆;伊米尔等级达到11;210301;204;11;400050;2811;0;3;;;0;2801
2811;信仰 尼夫尔海姆;伊米尔等级达到12;210301;204;12;400050;2812;0;3;;;0;2801
2812;信仰 尼夫尔海姆;伊米尔等级达到13;210301;204;13;400050;2813;0;3;;;0;2801
2813;信仰 尼夫尔海姆;伊米尔等级达到14;210301;204;14;400050;2814;0;3;;;0;2801
2814;信仰 尼夫尔海姆;伊米尔等级达到15;210301;204;15;400050;2815;0;3;;;0;2801
2815;信仰 尼夫尔海姆;伊米尔等级达到16;210301;204;16;400050;2816;0;3;;;0;2801
2816;信仰 尼夫尔海姆;伊米尔等级达到17;210301;204;17;400050;2817;0;3;;;0;2801
2817;信仰 尼夫尔海姆;伊米尔等级达到18;210301;204;18;400050;2818;0;3;;;0;2801
2818;信仰 尼夫尔海姆;伊米尔等级达到19;210301;204;19;400050;2819;0;3;;;0;2801
2819;信仰 尼夫尔海姆;伊米尔等级达到20;210301;204;20;400050;2820;0;3;;;0;2801
2820;信仰 尼夫尔海姆;伊米尔等级达到21;210301;204;21;400050;2821;0;3;;;0;2801
2821;信仰 尼夫尔海姆;伊米尔等级达到22;210301;204;22;400050;2822;0;3;;;0;2801
2822;信仰 尼夫尔海姆;伊米尔等级达到23;210301;204;23;400050;2823;0;3;;;0;2801
2823;信仰 尼夫尔海姆;伊米尔等级达到24;210301;204;24;400050;2824;0;3;;;0;2801
2824;信仰 尼夫尔海姆;伊米尔等级达到25;210301;204;25;400050;2825;0;3;;;0;2801
2825;信仰 尼夫尔海姆;伊米尔等级达到26;210301;204;26;400050;2826;0;3;;;0;2801
2826;信仰 尼夫尔海姆;伊米尔等级达到27;210301;204;27;400050;2827;0;3;;;0;2801
2827;信仰 尼夫尔海姆;伊米尔等级达到28;210301;204;28;400050;2828;0;3;;;0;2801
2828;信仰 尼夫尔海姆;伊米尔等级达到29;210301;204;29;400050;2829;0;3;;;0;2801
2829;信仰 尼夫尔海姆;伊米尔等级达到30;210301;204;30;400050;2830;0;3;;;0;2801
2830;信仰 尼夫尔海姆;伊米尔等级达到31;210301;204;31;400050;2831;0;3;;;0;2801
2831;信仰 尼夫尔海姆;伊米尔等级达到32;210301;204;32;400050;2832;0;3;;;0;2801
2832;信仰 尼夫尔海姆;伊米尔等级达到33;210301;204;33;400050;2833;0;3;;;0;2801
2833;信仰 尼夫尔海姆;伊米尔等级达到34;210301;204;34;400050;2834;0;3;;;0;2801
2834;信仰 尼夫尔海姆;伊米尔等级达到35;210301;204;35;400050;2835;0;3;;;0;2801
2835;信仰 尼夫尔海姆;伊米尔等级达到36;210301;204;36;400050;2836;0;3;;;0;2801
2836;信仰 尼夫尔海姆;伊米尔等级达到37;210301;204;37;400050;2837;0;3;;;0;2801
2837;信仰 尼夫尔海姆;伊米尔等级达到38;210301;204;38;400050;2838;0;3;;;0;2801
2838;信仰 尼夫尔海姆;伊米尔等级达到39;210301;204;39;400050;2839;0;3;;;0;2801
2839;信仰 尼夫尔海姆;伊米尔等级达到40;210301;204;40;400050;2840;0;3;;;0;2801
2840;信仰 尼夫尔海姆;伊米尔等级达到41;210301;204;41;400050;2841;0;3;;;0;2801
2841;信仰 尼夫尔海姆;伊米尔等级达到42;210301;204;42;400050;2842;0;3;;;0;2801
2842;信仰 尼夫尔海姆;伊米尔等级达到43;210301;204;43;400050;2843;0;3;;;0;2801
2843;信仰 尼夫尔海姆;伊米尔等级达到44;210301;204;44;400050;2844;0;3;;;0;2801
2844;信仰 尼夫尔海姆;伊米尔等级达到45;210301;204;45;400050;2845;0;3;;;0;2801
2845;信仰 尼夫尔海姆;伊米尔等级达到46;210301;204;46;400050;2846;0;3;;;0;2801
2846;信仰 尼夫尔海姆;伊米尔等级达到47;210301;204;47;400050;2847;0;3;;;0;2801
2847;信仰 尼夫尔海姆;伊米尔等级达到48;210301;204;48;400050;2848;0;3;;;0;2801
2848;信仰 尼夫尔海姆;伊米尔等级达到49;210301;204;49;400050;2849;0;3;;;0;2801
2849;信仰 尼夫尔海姆;伊米尔等级达到50;210301;204;50;400050;2850;0;3;;;0;2801
2850;信仰 尼夫尔海姆;伊米尔等级达到51;210301;204;51;400050;2851;0;3;;;0;2801
2851;信仰 尼夫尔海姆;伊米尔等级达到52;210301;204;52;400050;2852;0;3;;;0;2801
2852;信仰 尼夫尔海姆;伊米尔等级达到53;210301;204;53;400050;2853;0;3;;;0;2801
2853;信仰 尼夫尔海姆;伊米尔等级达到54;210301;204;54;400050;2854;0;3;;;0;2801
2854;信仰 尼夫尔海姆;伊米尔等级达到55;210301;204;55;400050;2855;0;3;;;0;2801
2855;信仰 尼夫尔海姆;伊米尔等级达到56;210301;204;56;400050;2856;0;3;;;0;2801
2856;信仰 尼夫尔海姆;伊米尔等级达到57;210301;204;57;400050;2857;0;3;;;0;2801
2857;信仰 尼夫尔海姆;伊米尔等级达到58;210301;204;58;400050;2858;0;3;;;0;2801
2858;信仰 尼夫尔海姆;伊米尔等级达到59;210301;204;59;400050;2859;0;3;;;0;2801
2859;信仰 尼夫尔海姆;伊米尔等级达到60;210301;204;60;400050;2860;0;3;;;0;2801
2860;信仰 尼夫尔海姆;伊米尔等级达到61;210301;204;61;400050;2861;0;3;;;0;2801
2861;信仰 尼夫尔海姆;伊米尔等级达到62;210301;204;62;400050;2862;0;3;;;0;2801
2862;信仰 尼夫尔海姆;伊米尔等级达到63;210301;204;63;400050;2863;0;3;;;0;2801
2863;信仰 尼夫尔海姆;伊米尔等级达到64;210301;204;64;400050;2864;0;3;;;0;2801
2864;信仰 尼夫尔海姆;伊米尔等级达到65;210301;204;65;400050;2865;0;3;;;0;2801
2865;信仰 尼夫尔海姆;伊米尔等级达到66;210301;204;66;400050;2866;0;3;;;0;2801
2866;信仰 尼夫尔海姆;伊米尔等级达到67;210301;204;67;400050;2867;0;3;;;0;2801
2867;信仰 尼夫尔海姆;伊米尔等级达到68;210301;204;68;400050;2868;0;3;;;0;2801
2868;信仰 尼夫尔海姆;伊米尔等级达到69;210301;204;69;400050;2869;0;3;;;0;2801
2869;信仰 尼夫尔海姆;伊米尔等级达到70;210301;204;70;400050;2870;0;3;;;0;2801
2870;信仰 尼夫尔海姆;伊米尔等级达到71;210301;204;71;400050;2871;0;3;;;0;2801
2871;信仰 尼夫尔海姆;伊米尔等级达到72;210301;204;72;400050;2872;0;3;;;0;2801
2872;信仰 尼夫尔海姆;伊米尔等级达到73;210301;204;73;400050;2873;0;3;;;0;2801
2873;信仰 尼夫尔海姆;伊米尔等级达到74;210301;204;74;400050;2874;0;3;;;0;2801
2874;信仰 尼夫尔海姆;伊米尔等级达到75;210301;204;75;400050;2875;0;3;;;0;2801
2875;信仰 尼夫尔海姆;伊米尔等级达到76;210301;204;76;400050;2876;0;3;;;0;2801
2876;信仰 尼夫尔海姆;伊米尔等级达到77;210301;204;77;400050;2877;0;3;;;0;2801
2877;信仰 尼夫尔海姆;伊米尔等级达到78;210301;204;78;400050;2878;0;3;;;0;2801
2878;信仰 尼夫尔海姆;伊米尔等级达到79;210301;204;79;400050;2879;0;3;;;0;2801
2879;信仰 尼夫尔海姆;伊米尔等级达到80;210301;204;80;400050;2880;0;3;;;0;2801
2880;信仰 尼夫尔海姆;伊米尔等级达到81;210301;204;81;400050;2881;0;3;;;0;2801
2881;信仰 尼夫尔海姆;伊米尔等级达到82;210301;204;82;400050;2882;0;3;;;0;2801
2882;信仰 尼夫尔海姆;伊米尔等级达到83;210301;204;83;400050;2883;0;3;;;0;2801
2883;信仰 尼夫尔海姆;伊米尔等级达到84;210301;204;84;400050;2884;0;3;;;0;2801
2884;信仰 尼夫尔海姆;伊米尔等级达到85;210301;204;85;400050;2885;0;3;;;0;2801
2885;信仰 尼夫尔海姆;伊米尔等级达到86;210301;204;86;400050;2886;0;3;;;0;2801
2886;信仰 尼夫尔海姆;伊米尔等级达到87;210301;204;87;400050;2887;0;3;;;0;2801
2887;信仰 尼夫尔海姆;伊米尔等级达到88;210301;204;88;400050;2888;0;3;;;0;2801
2888;信仰 尼夫尔海姆;伊米尔等级达到89;210301;204;89;400050;2889;0;3;;;0;2801
2889;信仰 尼夫尔海姆;伊米尔等级达到90;210301;204;90;400050;2890;0;3;;;0;2801
2890;信仰 尼夫尔海姆;伊米尔等级达到91;210301;204;91;400050;2891;0;3;;;0;2801
2891;信仰 尼夫尔海姆;伊米尔等级达到92;210301;204;92;400050;2892;0;3;;;0;2801
2892;信仰 尼夫尔海姆;伊米尔等级达到93;210301;204;93;400050;2893;0;3;;;0;2801
2893;信仰 尼夫尔海姆;伊米尔等级达到94;210301;204;94;400050;2894;0;3;;;0;2801
2894;信仰 尼夫尔海姆;伊米尔等级达到95;210301;204;95;400050;2895;0;3;;;0;2801
2895;信仰 尼夫尔海姆;伊米尔等级达到96;210301;204;96;400050;2896;0;3;;;0;2801
2896;信仰 尼夫尔海姆;伊米尔等级达到97;210301;204;97;400050;2897;0;3;;;0;2801
2897;信仰 尼夫尔海姆;伊米尔等级达到98;210301;204;98;400050;2898;0;3;;;0;2801
2898;信仰 尼夫尔海姆;伊米尔等级达到99;210301;204;99;400050;2899;0;3;;;0;2801
2899;信仰 尼夫尔海姆;伊米尔等级达到100;210301;204;100;400050;;0;3;;;0;2801
2901;基友;增加1个好友;207101;71;1;400100;2902;1;3;;;0;2901
2902;很多基友;增加5个好友;207101;71;5;400100;2903;0;3;;;0;2901
2903;茫茫多的基友;增加20个好友;207101;71;20;400200;;0;3;;;0;2901
3001;信仰 阿摩婆罗提;毗湿奴等级达到2;210501;205;2;400050;3002;1;3;;;0;3001
3002;信仰 阿摩婆罗提;毗湿奴等级达到3;210501;205;3;400050;3003;0;3;;;0;3001
3003;信仰 阿摩婆罗提;毗湿奴等级达到4;210501;205;4;400050;3004;0;3;;;0;3001
3004;信仰 阿摩婆罗提;毗湿奴等级达到5;210501;205;5;400050;3005;0;3;;;0;3001
3005;信仰 阿摩婆罗提;毗湿奴等级达到6;210501;205;6;400050;3006;0;3;;;0;3001
3006;信仰 阿摩婆罗提;毗湿奴等级达到7;210501;205;7;400050;3007;0;3;;;0;3001
3007;信仰 阿摩婆罗提;毗湿奴等级达到8;210501;205;8;400050;3008;0;3;;;0;3001
3008;信仰 阿摩婆罗提;毗湿奴等级达到9;210501;205;9;400050;3009;0;3;;;0;3001
3009;信仰 阿摩婆罗提;毗湿奴等级达到10;210501;205;10;400050;3010;0;3;;;0;3001
3010;信仰 阿摩婆罗提;毗湿奴等级达到11;210501;205;11;400050;3011;0;3;;;0;3001
3011;信仰 阿摩婆罗提;毗湿奴等级达到12;210501;205;12;400050;3012;0;3;;;0;3001
3012;信仰 阿摩婆罗提;毗湿奴等级达到13;210501;205;13;400050;3013;0;3;;;0;3001
3013;信仰 阿摩婆罗提;毗湿奴等级达到14;210501;205;14;400050;3014;0;3;;;0;3001
3014;信仰 阿摩婆罗提;毗湿奴等级达到15;210501;205;15;400050;3015;0;3;;;0;3001
3015;信仰 阿摩婆罗提;毗湿奴等级达到16;210501;205;16;400050;3016;0;3;;;0;3001
3016;信仰 阿摩婆罗提;毗湿奴等级达到17;210501;205;17;400050;3017;0;3;;;0;3001
3017;信仰 阿摩婆罗提;毗湿奴等级达到18;210501;205;18;400050;3018;0;3;;;0;3001
3018;信仰 阿摩婆罗提;毗湿奴等级达到19;210501;205;19;400050;3019;0;3;;;0;3001
3019;信仰 阿摩婆罗提;毗湿奴等级达到20;210501;205;20;400050;3020;0;3;;;0;3001
3020;信仰 阿摩婆罗提;毗湿奴等级达到21;210501;205;21;400050;3021;0;3;;;0;3001
3021;信仰 阿摩婆罗提;毗湿奴等级达到22;210501;205;22;400050;3022;0;3;;;0;3001
3022;信仰 阿摩婆罗提;毗湿奴等级达到23;210501;205;23;400050;3023;0;3;;;0;3001
3023;信仰 阿摩婆罗提;毗湿奴等级达到24;210501;205;24;400050;3024;0;3;;;0;3001
3024;信仰 阿摩婆罗提;毗湿奴等级达到25;210501;205;25;400050;3025;0;3;;;0;3001
3025;信仰 阿摩婆罗提;毗湿奴等级达到26;210501;205;26;400050;3026;0;3;;;0;3001
3026;信仰 阿摩婆罗提;毗湿奴等级达到27;210501;205;27;400050;3027;0;3;;;0;3001
3027;信仰 阿摩婆罗提;毗湿奴等级达到28;210501;205;28;400050;3028;0;3;;;0;3001
3028;信仰 阿摩婆罗提;毗湿奴等级达到29;210501;205;29;400050;3029;0;3;;;0;3001
3029;信仰 阿摩婆罗提;毗湿奴等级达到30;210501;205;30;400050;3030;0;3;;;0;3001
3030;信仰 阿摩婆罗提;毗湿奴等级达到31;210501;205;31;400050;3031;0;3;;;0;3001
3031;信仰 阿摩婆罗提;毗湿奴等级达到32;210501;205;32;400050;3032;0;3;;;0;3001
3032;信仰 阿摩婆罗提;毗湿奴等级达到33;210501;205;33;400050;3033;0;3;;;0;3001
3033;信仰 阿摩婆罗提;毗湿奴等级达到34;210501;205;34;400050;3034;0;3;;;0;3001
3034;信仰 阿摩婆罗提;毗湿奴等级达到35;210501;205;35;400050;3035;0;3;;;0;3001
3035;信仰 阿摩婆罗提;毗湿奴等级达到36;210501;205;36;400050;3036;0;3;;;0;3001
3036;信仰 阿摩婆罗提;毗湿奴等级达到37;210501;205;37;400050;3037;0;3;;;0;3001
3037;信仰 阿摩婆罗提;毗湿奴等级达到38;210501;205;38;400050;3038;0;3;;;0;3001
3038;信仰 阿摩婆罗提;毗湿奴等级达到39;210501;205;39;400050;3039;0;3;;;0;3001
3039;信仰 阿摩婆罗提;毗湿奴等级达到40;210501;205;40;400050;3040;0;3;;;0;3001
3040;信仰 阿摩婆罗提;毗湿奴等级达到41;210501;205;41;400050;3041;0;3;;;0;3001
3041;信仰 阿摩婆罗提;毗湿奴等级达到42;210501;205;42;400050;3042;0;3;;;0;3001
3042;信仰 阿摩婆罗提;毗湿奴等级达到43;210501;205;43;400050;3043;0;3;;;0;3001
3043;信仰 阿摩婆罗提;毗湿奴等级达到44;210501;205;44;400050;3044;0;3;;;0;3001
3044;信仰 阿摩婆罗提;毗湿奴等级达到45;210501;205;45;400050;3045;0;3;;;0;3001
3045;信仰 阿摩婆罗提;毗湿奴等级达到46;210501;205;46;400050;3046;0;3;;;0;3001
3046;信仰 阿摩婆罗提;毗湿奴等级达到47;210501;205;47;400050;3047;0;3;;;0;3001
3047;信仰 阿摩婆罗提;毗湿奴等级达到48;210501;205;48;400050;3048;0;3;;;0;3001
3048;信仰 阿摩婆罗提;毗湿奴等级达到49;210501;205;49;400050;3049;0;3;;;0;3001
3049;信仰 阿摩婆罗提;毗湿奴等级达到50;210501;205;50;400050;3050;0;3;;;0;3001
3050;信仰 阿摩婆罗提;毗湿奴等级达到51;210501;205;51;400050;3051;0;3;;;0;3001
3051;信仰 阿摩婆罗提;毗湿奴等级达到52;210501;205;52;400050;3052;0;3;;;0;3001
3052;信仰 阿摩婆罗提;毗湿奴等级达到53;210501;205;53;400050;3053;0;3;;;0;3001
3053;信仰 阿摩婆罗提;毗湿奴等级达到54;210501;205;54;400050;3054;0;3;;;0;3001
3054;信仰 阿摩婆罗提;毗湿奴等级达到55;210501;205;55;400050;3055;0;3;;;0;3001
3055;信仰 阿摩婆罗提;毗湿奴等级达到56;210501;205;56;400050;3056;0;3;;;0;3001
3056;信仰 阿摩婆罗提;毗湿奴等级达到57;210501;205;57;400050;3057;0;3;;;0;3001
3057;信仰 阿摩婆罗提;毗湿奴等级达到58;210501;205;58;400050;3058;0;3;;;0;3001
3058;信仰 阿摩婆罗提;毗湿奴等级达到59;210501;205;59;400050;3059;0;3;;;0;3001
3059;信仰 阿摩婆罗提;毗湿奴等级达到60;210501;205;60;400050;3060;0;3;;;0;3001
3060;信仰 阿摩婆罗提;毗湿奴等级达到61;210501;205;61;400050;3061;0;3;;;0;3001
3061;信仰 阿摩婆罗提;毗湿奴等级达到62;210501;205;62;400050;3062;0;3;;;0;3001
3062;信仰 阿摩婆罗提;毗湿奴等级达到63;210501;205;63;400050;3063;0;3;;;0;3001
3063;信仰 阿摩婆罗提;毗湿奴等级达到64;210501;205;64;400050;3064;0;3;;;0;3001
3064;信仰 阿摩婆罗提;毗湿奴等级达到65;210501;205;65;400050;3065;0;3;;;0;3001
3065;信仰 阿摩婆罗提;毗湿奴等级达到66;210501;205;66;400050;3066;0;3;;;0;3001
3066;信仰 阿摩婆罗提;毗湿奴等级达到67;210501;205;67;400050;3067;0;3;;;0;3001
3067;信仰 阿摩婆罗提;毗湿奴等级达到68;210501;205;68;400050;3068;0;3;;;0;3001
3068;信仰 阿摩婆罗提;毗湿奴等级达到69;210501;205;69;400050;3069;0;3;;;0;3001
3069;信仰 阿摩婆罗提;毗湿奴等级达到70;210501;205;70;400050;3070;0;3;;;0;3001
3070;信仰 阿摩婆罗提;毗湿奴等级达到71;210501;205;71;400050;3071;0;3;;;0;3001
3071;信仰 阿摩婆罗提;毗湿奴等级达到72;210501;205;72;400050;3072;0;3;;;0;3001
3072;信仰 阿摩婆罗提;毗湿奴等级达到73;210501;205;73;400050;3073;0;3;;;0;3001
3073;信仰 阿摩婆罗提;毗湿奴等级达到74;210501;205;74;400050;3074;0;3;;;0;3001
3074;信仰 阿摩婆罗提;毗湿奴等级达到75;210501;205;75;400050;3075;0;3;;;0;3001
3075;信仰 阿摩婆罗提;毗湿奴等级达到76;210501;205;76;400050;3076;0;3;;;0;3001
3076;信仰 阿摩婆罗提;毗湿奴等级达到77;210501;205;77;400050;3077;0;3;;;0;3001
3077;信仰 阿摩婆罗提;毗湿奴等级达到78;210501;205;78;400050;3078;0;3;;;0;3001
3078;信仰 阿摩婆罗提;毗湿奴等级达到79;210501;205;79;400050;3079;0;3;;;0;3001
